0,ageGroup,artifactUrl,attributions,author,concepts,contentType,createdBy,description,downloadUrl,gradeLevel,identifier,keywords,language,name,objectType,status,subject,variants,content_type,chapter_tag,pred_grades
529,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31248978004049920021979/artifact/1524631427084_do_31248978004049920021979.zip,,,,Resource,013f8c66-677d-4deb-a641-d06710e38183,आलेखन विधि द्वारा दो चरों वाली रेखिक असमिकायों का हल,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31248978004049920021979/aalekhn-vidhi-dvaaraa-do-cron-vaalii-rekhik-asmikaayon-kaa-hl_1528702792959_do_31248978004049920021979_1.0.ecar,[Class 10],do_31248978004049920021979,"[LWL4BM,MBCB81,आलेखन विधि द्वारा दो चरों वाली रेखिक असमिकायों का हल, Course]",[English],आलेखन विधि द्वारा दो चरों वाली रेखिक असमिकायों का हल,Content,Live,Mathematics,"{u'spine': {u'size': 41302.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31248978004049920021979/aalekhn-vidhi-dvaaraa-do-cron-vaalii-rekhik-asmikaayon-kaa-hl_1528702793829_do_31248978004049920021979_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
530,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312458298266279936111917/artifact/1528870183514_do_312458298266279936111917.zip,,,,Resource,013f8c66-677d-4deb-a641-d06710e38183,"R5T4IA,R6BVLK,आश्रित घटनाये ,सम्प्रायिक घटनाओ से सम्बंधित उदहारण",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312458298266279936111917/aashrit-ghttnaaye-smpraayik-ghttnaao-se-smbndhit-udhaarnn_1528870184005_do_312458298266279936111917_1.0.ecar,[Class 10],do_312458298266279936111917,"[Story, R5T4IA,R6BVLK,आश्रित घटनाये ,सम्प्रायिक घटनाओ से सम्बंधित उदहारण]",[English],"आश्रित घटनाये ,सम्प्रायिक घटनाओ से सम्बंधित उदहारण",Content,Live,Mathematics,"{u'spine': {u'size': 39648.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312458298266279936111917/aashrit-ghttnaaye-smpraayik-ghttnaao-se-smbndhit-udhaarnn_1528870184402_do_312458298266279936111917_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
531,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312521726399881216214376/artifact/1529314257491_do_312521726399881216214376.zip,,,,Resource,fc5b0619-f49f-440b-895c-0937faa7d5ca,पाठ - 12  आकाशीय पिण्ड एंव भारतीय पंचांग,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312521726399881216214376/uttraaynn-dkssinnaayn_1529314257939_do_312521726399881216214376_2.0.ecar,[Class 9],do_312521726399881216214376,"[उत्तरायण दक्षिणायन, पाठ - 12  आकाशीय पिण्ड एंव भारतीय पंचांग, 6728ES, 6K9N7V]",[English],उत्तरायण दक्षिणायन,Content,Live,Science,"{u'spine': {u'size': 99114.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312521726399881216214376/uttraaynn-dkssinnaayn_1529314258376_do_312521726399881216214376_2.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
532,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31250810793716121626165/artifact/1528200822785_do_31250810793716121626165.zip,[BSER],,,Resource,60458228-7238-4061-aedc-8ede2e80fa69,"उत्तरोत्तर आवर्धन प्रक्रम,",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250810793716121626165/uttrottr-aavrdhn-prkrm_1528200823885_do_31250810793716121626165_1.0.ecar,[Class 9],do_31250810793716121626165,"[8A47BI, 8AVUGG, उत्तरोत्तर आवर्धन प्रक्रम,]",[English],उत्तरोत्तर आवर्धन प्रक्रम,Content,Live,Mathematics,"{u'spine': {u'size': 29758.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250810793716121626165/uttrottr-aavrdhn-prkrm_1528200824535_do_31250810793716121626165_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
533,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3124877068976619522412/artifact/1527930773791_do_3124877068976619522412.zip,,,,Resource,4d5842bb-2702-4df5-a65b-e34fb97c7d09,एक बिंदु से किसी वृत्त पर खींची जा सकने वाली स्पर्श रेखाओं की संख्या,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124877068976619522412/ek-bindu-se-kisii-vrtt-pr-khiincii-jaa-skne-vaalii-sprsh-rekhaaon-kii-snkhyaa_1527930777102_do_3124877068976619522412_1.0.ecar,[Class 10],do_3124877068976619522412,"[PG8GGA, PUFW9D, Learning / Study material]",[English],एक बिंदु से किसी वृत्त पर खींची जा सकने वाली स्पर्श रेखाओं की संख्या,Content,Live,Mathematics,"{u'spine': {u'size': 59913.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124877068976619522412/ek-bindu-se-kisii-vrtt-pr-khiincii-jaa-skne-vaalii-sprsh-rekhaaon-kii-snkhyaa_1527930779958_do_3124877068976619522412_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
534,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31250681696527155225076/artifact/1528011297397_do_31250681696527155225076.zip,[SOHAN LAL GUPTA],,,Resource,4d5842bb-2702-4df5-a65b-e34fb97c7d09,एक रेखाखंड का दिए गए अनुपात में आंतरिक विभाजन,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250681696527155225076/ek-rekhaakhndd-kaa-die-ge-anupaat-men-aantrik-vibhaajn_1528011300337_do_31250681696527155225076_1.0.ecar,[Class 10],do_31250681696527155225076,"[PUYNCN, PV8JEB]",[English],एक रेखाखंड का दिए गए अनुपात में आंतरिक विभाजन,Content,Live,Mathematics,"{u'spine': {u'size': 51543.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250681696527155225076/ek-rekhaakhndd-kaa-die-ge-anupaat-men-aantrik-vibhaajn_1528011303006_do_31250681696527155225076_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
535,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3124883082731847681743/artifact/1528258295606_do_3124883082731847681743.zip,,,,Resource,4d5842bb-2702-4df5-a65b-e34fb97c7d09,एकान्तर वृत्तखंड के कोण,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124883082731847681743/ekaantr-vrttkhndd-ke-konn_1528258299500_do_3124883082731847681743_1.0.ecar,[Class 10],do_3124883082731847681743,"[PG8GGA, PUPSB1, Learning / Study material]",[English],एकान्तर वृत्तखंड के कोण,Content,Live,Mathematics,"{u'spine': {u'size': 40963.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124883082731847681743/ekaantr-vrttkhndd-ke-konn_1528258303089_do_3124883082731847681743_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
536,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31250558072917196823957/artifact/1528528615125_do_31250558072917196823957.zip,[me],,,Resource,c319db31-e3d7-4182-acc3-93e651df777c,ओम का नियम एवं प्रतिरोध की निर्भरता,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250558072917196823957/om-kaa-niym-ohms-law_1528528621568_do_31250558072917196823957_1.0.ecar,[Class 10],do_31250558072917196823957,"[H83KXQ,H8CGZD,]",[English],ओम का नियम (Ohm's Law),Content,Live,Science,"{u'spine': {u'size': 605502.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250558072917196823957/om-kaa-niym-ohms-law_1528528627168_do_31250558072917196823957_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
537,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_312528436489256960110/jiva.mp4,,,,Resource,013f8c66-677d-4deb-a641-d06710e38183,"P1PLEY,PF6X9P,केंद्र से जीवा पर लम्ब",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312528436489256960110/kendr-se-jiivaa-pr-lmbled-content_1529684836182_do_312528436489256960110_1.0.ecar,[Class 10],do_312528436489256960110,"[P1PLEY,PF6X9P,केंद्र से जीवा पर लम्ब]",[English],केंद्र से जीवा पर लम्बled Content,Content,Live,Mathematics,"{u'spine': {u'size': 21351.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312528436489256960110/kendr-se-jiivaa-pr-lmbled-content_1529684836663_do_312528436489256960110_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
538,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_3125014783367495682649/1080_24_8.58_ma-videotomp41.webm,,,,Resource,60458228-7238-4061-aedc-8ede2e80fa69,"कोण एवं इसका मापन ,शीर्षाभिमुख कोण , एक बिंदु पर बनने वाले कोण",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125014783367495682649/konn-evn-iskaa-maapn_1528256504676_do_3125014783367495682649_1.0.ecar,[Class 9],do_3125014783367495682649,"[कोण एवं इसका मापन, शीर्षाभिमुख कोण, एक बिंदु पर बनने वाले कोण, कोण, सम्मुख कोण, 95ESFT,95XJJ4,कोण का मापन, 95ESFT, 95XJJ4, Learning / Study material]",[English],कोण एवं इसका मापन,Content,Live,Mathematics,"{u'spine': {u'size': 21043.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125014783367495682649/konn-evn-iskaa-maapn_1528256505773_do_3125014783367495682649_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
539,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3125100218837893122159/artifact/1529803298749_do_3125100218837893122159.zip,"[CC BY-SA 3.0,  https://commons.wikimedia.org/w/index.php?curid=327384,  By Rdbickel - Own work,  CC BY-SA 4.0,  https://commons.wikimedia.org/w/index.php?curid=49599354,  By OpenStax [CC BY 4.0 (https://creativecommons.org/licenses/by/4.0)],  via Wikimedia Commons,  Von MITOSIS_cells_secuence.svg: LadyofHatscutting: Matt (talk) - MITOSIS_cells_secuence.svg,  Gemeinfrei,  https://commons.wikimedia.org/w/index.php?curid=6766930,  By MITOSIS_cells_secuence.svg: LadyofHatsderivative work: Matt (MITOSIS_cells_secuence.svg) [Public domain],  via Wikimedia Commons,  By MITOSIS_cells_secuence.svg: LadyofHatsderivative work: Matt (MITOSIS_cells_secuence.svg) [Public domain],  via Wikimedia Commons,  By MITOSIS_cells_secuence.svg: LadyofHatsderivative work: Matt (MITOSIS_cells_secuence.svg) [Public domain],  via Wikimedia Commons,  By CNX OpenStax [CC BY 4.0 (https://creativecommons.org/licenses/by/4.0)],  via Wikimedia Commons,  By Ali Zifan [CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)],  from Wikimedia Commons,  ""Music: www.bensound.com""]",,,Resource,d9798304-044b-4afb-a4b1-c77c8b56ae38,समसूत्री व अर्द्धसूत्री कोशिका विभाजन की विभिन्न अवस्थाओं को स्पस्ट करना,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125100218837893122159/koshikaa-vibhaajn_1529803299593_do_3125100218837893122159_1.0.ecar,[Class 9],do_3125100218837893122159,"[3MEVA5, 41MB38, कोशिका विभाजन, श्यामप्रताप सिंह, SHYAMPRATAP SINGH, अध्याय 6, विषय विज्ञान, कक्षा 9, cell division, विकास आसीवाल, VIKASH ASHIWAL, कोशिका विभाजन के प्रकार, अर्द्धसूत्री कोशिका विभाजन, समसूत्री कोशिका विभाजन, केन्द्रक विभाजन, अन्तरावस्था, अंत्यावस्था, पश्चावस्था, पूर्वावस्था, मध्यावस्था, PROPHASE, METAPHASE, ANAPHASE, TELOPHASE, MITOSIS, MEIOSIS]",[English],कोशिका विभाजन,Content,Live,Science,"{u'spine': {u'size': 57002.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125100218837893122159/koshikaa-vibhaajn_1529803300143_do_3125100218837893122159_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
540,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31251532316232089626181/artifact/1528366934862_do_31251532316232089626181.zip,[माध्यमिक शिक्षा बोर्ड राजस्थान],,,Resource,60458228-7238-4061-aedc-8ede2e80fa69,"क्षेत्रफल , एक ही आधार और एक ही समान्तर रेखाओ के मध्य स्थित समांतर चतुर्भुजों के क्षेत्रफल मे सम्बंद",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251532316232089626181/kssetrphl-area_1528366936216_do_31251532316232089626181_1.0.ecar,[Class 9],do_31251532316232089626181,"[ATQJG6, ATZFHT, AREA, क्षेत्रफल, क्षेत्रफल मे सम्बन्ध]",[English],क्षेत्रफल (AREA),Content,Live,Mathematics,"{u'spine': {u'size': 11696.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251532316232089626181/kssetrphl-area_1528366937196_do_31251532316232089626181_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
541,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312521241933283328114339/artifact/1529509605506_do_312521241933283328114339.zip,,,,Resource,fc5b0619-f49f-440b-895c-0937faa7d5ca,खगोलीय पिण्ड (khagoliya pind),https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312521241933283328114339/khgoliiy-pinndd_1529509607413_do_312521241933283328114339_1.0.ecar,[Class 9],do_312521241933283328114339,"[6728ES, 6JZS68, खगोलीय पिंड]",[English],खगोलीय पिण्ड,Content,Live,Science,"{u'spine': {u'size': 115462.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312521241933283328114339/khgoliiy-pinndd_1529509609156_do_312521241933283328114339_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
542,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31251898451148800019982/artifact/1528528022783_do_31251898451148800019982.zip,[me],,,Resource,c319db31-e3d7-4182-acc3-93e651df777c,विभिन्न प्रकार के खाद्य महत्व् के पादपो का विस्तृत विवरण,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251898451148800019982/khaady-smvndhii-mhtv-ke-paadp_1528528023983_do_31251898451148800019982_1.0.ecar,[Class 10],do_31251898451148800019982,"[II6X5Z,IW5GWF,खाद्य संबन्धी महत्व के पादप]",[English],खाद्य सम्वन्धी महत्व् के पादप,Content,Live,Science,"{u'spine': {u'size': 605543.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251898451148800019982/khaady-smvndhii-mhtv-ke-paadp_1528528024996_do_31251898451148800019982_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
543,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31248910914260172821382/artifact/1529410284779_do_31248910914260172821382.zip,,,,Resource,fc5b0619-f49f-440b-895c-0937faa7d5ca,पाठ - 9 बल और गति,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31248910914260172821382/gti_1529410287978_do_31248910914260172821382_1.0.ecar,[Class 9],do_31248910914260172821382,"[5BQMAH, 5C9EDS, गति, पाठ - 9 बल और गति, 5BQMAH,5C9EDS,, Motion]",[English],गति,Content,Live,Science,"{u'spine': {u'size': 142816.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31248910914260172821382/gti_1529410290820_do_31248910914260172821382_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
544,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312521720918867968114618/artifact/1529288886851_do_312521720918867968114618.zip,"[Images ""http://jaipurtrafficpolice.rajasthan.gov.in/gallery.aspx?""]",,,Resource,fc5b0619-f49f-440b-895c-0937faa7d5ca,पाठ - 16 सड़क सुरक्षा शिक्षा,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312521720918867968114618/gti-evn-smy_1529288888094_do_312521720918867968114618_1.0.ecar,[Class 9],do_312521720918867968114618,"[7UBG8J, 7UKCA7, गति एवं समय]",[English],गति एवं समय,Content,Live,Science,"{u'spine': {u'size': 142956.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312521720918867968114618/gti-evn-smy_1529288888994_do_312521720918867968114618_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
545,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31244061092494540822930/artifact/1518629303469_do_31244061092494540822930.zip,,,[MATH10000],Resource,013f8c66-677d-4deb-a641-d06710e38183,गुणन खंड विधि द्वारा द्विघात समीकरणों के हल,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31244061092494540822930/gunnn-khndd-vidhi-dvaaraa-dvighaat-smiikrnnon-ke-hl_1528703648749_do_31244061092494540822930_2.0.ecar,[Class 10],do_31244061092494540822930,"[LGTD8N, LVJK52, गुणन खंड विधि द्वारा द्विघात समीकरणों के हल , Learning / Study material]",[English],गुणन खंड विधि द्वारा द्विघात समीकरणों के हल,Content,Live,Mathematics,"{u'spine': {u'size': 8636.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31244061092494540822930/gunnn-khndd-vidhi-dvaaraa-dvighaat-smiikrnnon-ke-hl_1528703649493_do_31244061092494540822930_2.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
546,,https://www.youtube.com/watch?v=kYKNce3r-z0,,,,Resource,a9a9ba63-b85f-44f5-b420-cbda1add593b,गुरुत्वाकर्षण - गुरुत्वाकर्षण का सावत्रिक नियम,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530952552194048210824/gurutvaakrssnn-gurutvaakrssnn-kaa-saavtrik-niym_1529657604768_do_312530952552194048210824_1.0.ecar,[Class 9],do_312530952552194048210824,"[5QZLA6, 5R9HBT, गुरुत्वाकर्षण]",[English],गुरुत्वाकर्षण - गुरुत्वाकर्षण का सावत्रिक नियम,Content,Live,Science,"{u'spine': {u'size': 15414.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530952552194048210824/gurutvaakrssnn-gurutvaakrssnn-kaa-saavtrik-niym_1529657605151_do_312530952552194048210824_1.0_spine.ecar'}}",youtube,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
547,,https://www.youtube.com/watch?v=kYKNce3r-z0,,,,Resource,a9a9ba63-b85f-44f5-b420-cbda1add593b,गुरुत्वाकर्षण - गुरुत्वीय त्वरण,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530953347145728210827/gurutvaakrssnn-gurutviiy-tvrnn_1529657620989_do_312530953347145728210827_1.0.ecar,[Class 9],do_312530953347145728210827,"[5QZLA6, 5RIDDG, गुरुत्वाकर्षण]",[English],गुरुत्वाकर्षण - गुरुत्वीय त्वरण,Content,Live,Science,"{u'spine': {u'size': 15392.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530953347145728210827/gurutvaakrssnn-gurutviiy-tvrnn_1529657621059_do_312530953347145728210827_1.0_spine.ecar'}}",youtube,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
548,,https://www.youtube.com/watch?v=kYKNce3r-z0,,,,Resource,a9a9ba63-b85f-44f5-b420-cbda1add593b,गुरुत्वाकर्षण - पृथ्वी के गुरुत्वीय बल के प्रभाव में वस्तुओ की गति,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530954112630784210856/gurutvaakrssnn-prthvii-ke-gurutviiy-bl-ke-prbhaav-men-vstuo-kii-gti_1529755355174_do_312530954112630784210856_1.0.ecar,[Class 9],do_312530954112630784210856,"[5QZLA6, 65QT6J, गुरुत्वाकर्षण]",[English],गुरुत्वाकर्षण - पृथ्वी के गुरुत्वीय बल के प्रभाव में वस्तुओ की गति,Content,Live,Science,"{u'spine': {u'size': 15467.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312530954112630784210856/gurutvaakrssnn-prthvii-ke-gurutviiy-bl-ke-prbhaav-men-vstuo-kii-gti_1529755355479_do_312530954112630784210856_1.0_spine.ecar'}}",youtube,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
549,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31251563778550169616948/artifact/1528038708340_do_31251563778550169616948.zip,[SOHAN LAL GUPTA],,,Resource,4d5842bb-2702-4df5-a65b-e34fb97c7d09,गोला एवं अर्द्धगोला,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251563778550169616948/golaa-evn-arddhgolaa_1528038711227_do_31251563778550169616948_1.0.ecar,[Class 10],do_31251563778550169616948,"[QP8QAD, QQJ5IL]",[English],गोला एवं अर्द्धगोला,Content,Live,Mathematics,"{u'spine': {u'size': 58092.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251563778550169616948/golaa-evn-arddhgolaa_1528038713763_do_31251563778550169616948_1.0_spine.ecar'}}",ecml,"[Rational Numbers, Algebraic Expressions and Identities]","[Class 7, Class 8]"
550,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31250699686200934425275/artifact/1528267254863_do_31250699686200934425275.zip,[me],,,Resource,c319db31-e3d7-4182-acc3-93e651df777c,"गोलीय दर्पण , कर्तिकीय चिन्ह परिपाटी एवं दर्पण से प्रतिविम्ब निर्माण",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250699686200934425275/goliiy-drpnn-evn-niym_1528267266223_do_31250699686200934425275_1.0.ecar,[Class 10],do_31250699686200934425275,"[GS1YT4,GSJQWE, गोलीय दर्पण एवं नियम]",[English],गोलीय दर्पण एवं नियम,Content,Live,Science,"{u'spine': {u'size': 605517.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250699686200934425275/goliiy-drpnn-evn-niym_1528267276561_do_31250699686200934425275_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
551,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31250692599230464015444/artifact/1528530690924_do_31250692599230464015444.zip,[me],,,Resource,c319db31-e3d7-4182-acc3-93e651df777c,विभिन्न प्रकार के लेन्सो से प्रतिविम्ब बनाना,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250692599230464015444/goliiy-lens-se-prtivimb-nirmaann-image-formation-by-spherical-lence_1528530694468_do_31250692599230464015444_1.0.ecar,[Class 10],do_31250692599230464015444,"[GS1YT4,H7AXSS,]",[English],गोलीय लेंस से प्रतिविम्ब निर्माण (Image formation by spherical lence),Content,Live,Science,"{u'spine': {u'size': 605536.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250692599230464015444/goliiy-lens-se-prtivimb-nirmaann-image-formation-by-spherical-lence_1528530697205_do_31250692599230464015444_1.0_spine.ecar'}}",ecml,"[Periodic Classification Of Elements, Atoms And Molecules]","[Class 10, Class 9]"
552,,https://www.youtube.com/watch?v=Pzt7jNdJyNk,[NCERT],,,Resource,013f8c66-677d-4deb-a641-d06710e38183,"P1PLEY,PFYKEM,चक्रीय चतुर्भुज के अंतराभिमुख कोण",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250854119820492826980/ckriiy-cturbhuj-ke-antraabhimukh-konn_1528531912817_do_31250854119820492826980_1.0.ecar,[Class 10],do_31250854119820492826980,"[P1PLEY,PFYKEM,चक्रीय चतुर्भुज के अंतराभिमुख कोण]",[English],चक्रीय चतुर्भुज के अंतराभिमुख कोण,Content,Live,Mathematics,"{u'spine': {u'size': 9150.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250854119820492826980/ckriiy-cturbhuj-ke-antraabhimukh-konn_1528531912917_do_31250854119820492826980_1.0_spine.ecar'}}",youtube,"[Smart Charts, Shapes And Angles]","[Class 3, Class 5]"
553,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31243421921328332824177/artifact/1528868421295_do_31243421921328332824177.zip,,,,Resource,013f8c66-677d-4deb-a641-d06710e38183,"RJAFD1,RJT7GB,चार्ट हिस्ट्रोग्राम",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31243421921328332824177/caartt-histtrograam-aankdddhon-kaa-snkln_1530906370920_do_31243421921328332824177_2.0.ecar,[Class 10],do_31243421921328332824177,"[Story, आंकड़ों का संकलन]",[English],चार्ट हिस्ट्रोग्राम आंकड़ों का संकलन,Content,Live,Mathematics,"{u'spine': {u'size': 40813.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31243421921328332824177/caartt-histtrograam-aankdddhon-kaa-snkln_1530906371175_do_31243421921328332824177_2.0_spine.ecar'}}",ecml,"[Smart Charts, Shapes And Angles]","[Class 3, Class 5]"
554,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31253683411044761621038/tangent-640x360-0.94mbps-2018-06-29-19-57-39.mp4,[jairam],,,Resource,013f8c66-677d-4deb-a641-d06710e38183,"PG8GGA,PGHCHX,छेदन रेखा एवं स्पर्शरेखा",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31253683411044761621038/chedn-rekhaa-evn-sprshrekhaa_1531293352172_do_31253683411044761621038_1.0.ecar,[Class 10],do_31253683411044761621038,"[PG8GGA,PGHCHX,छेदन रेखा एवं स्पर्शरेखा]",[English],छेदन रेखा एवं स्पर्शरेखा,Content,Live,Mathematics,"{u'spine': {u'size': 47300.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31253683411044761621038/chedn-rekhaa-evn-sprshrekhaa_1531293352629_do_31253683411044761621038_1.0_spine.ecar'}}",ecml,"[Smart Charts, Shapes And Angles]","[Class 3, Class 5]"
